#RETAIL_CD,RETAIL_NAME,RETAIL_ADDRESS,RETAIL_REGION
"RS_0000005","BACCHUS IMPORTERS LTD","Address5","Boston"
"RS_0000014","BUCK DISTRIBUTING COMPANY INC","Address14","New York"
"RS_0000011","CASTLE BRANDS USA CORP","Address11","Philadelphia"
"RS_0000013","JACKSON FAMILY ENTERPRISES INC","Address13","Cleveland"
"RS_0000010","LEGENDS LTD","Address10","Richmond"
"RS_0000003","REPUBLIC NATIONAL DISTRIBUTING CO","Address3","Atlanta"
"RS_0000009","BACARDI USA INC","Address9","Chicago"
"RS_0000012","DIONYSOS IMPORTS INC","Address12","St. Louis"
"RS_0000002","HEAVEN HILL DISTILLERIES INC","Address2","Minneapolis"
"RS_0000006","MHW LTD","Address6","Kansas City"
"RS_0000007","PERNOD RICARD USA LLC","Address7","Dallas"
"RS_0000015","PUNTO VINO LLC","Address15","San Francisco"
"RS_0000016","BARON FRANCOIS LTD","Address16","Atlanta"
"RS_0000001","JIM BEAM BRANDS CO","Address1","Chicago"
"RS_0000008","KATCEF BROTHERS INC","Address8","St. Louis"
"RS_0000004","MONSIEUR TOUTON SELECTION","Address4","Minneapolis"
"RS_0000017","PRESTIGE BEVERAGE GROUP OF MD LLC","Address17","Kansas City"
